No.;Time;Comment;Scramble;Date;P.1
76;7.93;;U' L' B' L U' L' U' L' r b;2023-07-25 12:00:22;7.93
77;9.70;;L' R B L R B L' R' l r b u';2023-07-25 12:01:05;9.70
78;9.29;;L' U R B L' R' B R' l r' u';2023-07-25 12:01:31;9.29
79;5.64;;B' L U B' L B' L B l r';2023-07-25 12:01:54;5.64
80;5.29;;R B U' B R B' U' L' l r' b;2023-07-25 12:02:14;5.29
81;7.96;;L U' L' R U' B L' B' l r b u';2023-07-25 12:02:35;7.96
82;5.44;;U' L B' U' L B' U' B l' r';2023-07-25 12:03:07;5.44
83;6.98+;;L R B' L' R B' L B' L' l' b';2023-07-25 12:03:26;4.98
84;4.09;;B U B' U L' R U' R l r b' u;2023-07-25 12:03:48;4.09
85;7.17;;L' R B R' L' B U' L R' l' b' u';2023-07-25 12:04:08;7.17
86;6.33;;U' L B' U L' U' R L' U l r b' u';2023-07-25 12:04:31;6.33
87;5.80;;B' U' L R L' B L' R r b u';2023-07-25 12:04:58;5.80
88;7.67;;L B R L B L U' B l' r' b u;2023-07-25 12:05:16;7.67
89;6.59;;L' R L R' U L B' L' l r b' u';2023-07-25 12:05:58;6.59
90;7.36;;L' R B U' R B' U R' l' b' u';2023-07-25 12:06:30;7.36
91;4.11;;U' R' L B' L B L R' r' b u';2023-07-25 12:06:49;4.11
92;5.10;;B U L U R' L R U' l';2023-07-25 12:07:10;5.10
93;5.77;;U L' B' L' R B' R U' r' b;2023-07-25 12:07:30;5.77
94;9.46+;;B' L' R U B' U R' L' r b' u';2023-07-25 12:07:53;7.46
95;3.80;;U B' U B' U' B R L' l r b';2023-07-25 12:08:20;3.80
96;9.11+;;U R U' L' U R B U' l r b;2023-07-25 12:08:36;7.11
97;10.75;;R' L U B' U B L' B' R' l' r b;2023-07-25 12:08:59;10.75
98;12.35+;;R' L' R U' L B R U' l r';2023-07-25 12:09:26;10.35
99;7.14;;L B R' L R B L' U r b' u';2023-07-26 11:03:15;7.14
100;5.45;;U' B' L' R' U' L U' R L l' u;2023-07-26 11:04:04;5.45
101;5.44;;B U' R U B' L' R' B l' r' b';2023-07-26 11:04:26;5.44
102;6.70;;L R' B' R U B L' R' U' l' r';2023-07-26 11:04:48;6.70
103;8.06;;L' U' R L' B' U R' L r' b u';2023-07-26 11:05:09;8.06
104;6.79;;L' U B U' L' U' L' B l r' b';2023-07-26 11:05:36;6.79
105;6.27;;U L U' R L' U L B' r b' u';2023-07-26 11:05:58;6.27
106;7.05;;L B R' L' R U' B L r;2023-07-26 11:06:18;7.05
107;6.21;;U R L' B' U' B' R' U' r b' u';2023-07-26 11:06:38;6.21
108;6.33;;L' R' L' U' R' L' U' R' l b' u';2023-07-26 11:06:59;6.33
109;12.59;;L' B U B' L' U R' B' l b' u;2023-07-26 11:07:20;12.59
110;10.26+;;L' U' B U' L' B U L r b u';2023-07-26 11:07:46;8.26
111;4.15;;L' R U' R' U B' U R' l;2023-07-26 11:08:14;4.15
112;10.37;;U' R' U B R' L' R B' L' B' r' b';2023-07-26 11:08:33;10.37
113;5.37;;U R B' R U B R' L b u';2023-07-26 11:09:00;5.37
114;4.25;;L' U L' U B' R' L' B' b;2023-07-26 11:09:23;4.25
115;6.59;;U L' R' L B R' L R' l r' b;2023-07-26 11:09:43;6.59
116;7.70;;R' L' B R' L U' L U R' l r' b';2023-07-26 11:10:09;7.70
117;5.97;;U' L R' B R' L B' R' l r u;2023-07-26 11:10:32;5.97
118;8.26;;B' L R B R B' U' L U' b';2023-07-26 11:10:54;8.26
119;6.59;;L B R L' U' R B R U l b';2023-07-26 11:11:15;6.59
120;2.74;;B' L B L' R L R' L' b';2023-07-26 11:11:37;2.74
121;2.70;;R' U R' B L' R' L' B' r u';2023-07-26 11:11:58;2.70
122;8.74;;L B' R B' U' L U' B' l b' u';2023-07-26 11:12:16;8.74
123;6.46;;U' L' R U' R' B R L r' u';2023-07-26 11:12:38;6.46
